brand,name,detail_url,concentration,main_accords,top_notes,middle_notes,base_notes,description,notes_score,season_score,day_night_score,gender,sizes
크리드,오리지널 베티버 오 드 퍼퓸,https://www.bysuco.com/product/show/22168,오 드 퍼퓸,시트러스 우디 아로마틱,메르가못 진저 만다린 오렌지,하이티안 베티버 샌달우드 아이리스,머스크 앰버그리스,온전한 흙내음과 이끼의 풀내음이 조화롭게 어우러진 특별한 숲의 향,citrus(100.0) / woody(94.4) / aromatic(81.9) / fresh spicy(73.1) / earthy(69.1) / powdery(63.3) / musky(52.7) / amber(48.6) / green(47.5) / fresh(45.3),winter(12.7) / spring(15.9) / summer(3.3) / fall(14.1),day(100.0) / night(96.2),Unisex,[50]
크리드,오리지널 상탈 오 드 퍼퓸,https://www.bysuco.com/product/show/693908,오 드 퍼퓸,아로마틱 우디 프레쉬 스파이시,주니퍼 베리 코리안더 진저 로즈마리 베르가못 만다리안 오렌지,샌달우드 레더 오렌지 블로썸 제라늄,통카빈 머스크 시더 오크모스,1930년대에 크리드 가문이 자주 방문했던 아시아에서 영감을 받은 향,aromatic(100.0) / woody(85.5) / fresh spicy(78.8) / lavender(56.5) / powdery(49.5) / warm spicy(48.6) / vanilla(44.3),winter(18.7) / spring(28.8) / summer(2.8) / fall(85.1),day(81.2) / night(37.9),Unisex,"[50, 100]"
크리드,윈드 플라워스 오 드 퍼퓸,https://www.bysuco.com/product/show/9374,오 드 퍼퓸,화이트 플로랄 스위트 파우더리,자스민 오렌지 블라썸 피치,자스민 삼박 튜베로즈 로즈,머스크 프랄린 오렌지 블라썸 샌달우드 아이리스,포근하고 가벼운 나무 향이 배어 있는 누가를 연상시키는 베이스와 상큼한 플로럴한 향이 어우러져 아름답고 반짝이는 향,white floral(100.0) / sweet(66.5) / powdery(63.7) / musky(56.3) / tuberose(48.1) / rose(47.7) / woody(46.9) / iris(46.8) / animalic(45.8),winter(66.7) / spring(48.0) / summer(24.9) / fall(30.0),day(100.0) / night(78.9),Female,[75]
크리드,제스트 만다린 오 드 퍼퓸,https://www.bysuco.com/product/show/693914,오 드 퍼퓸,시트러스 패츌리,레몬 리프 이탈리안 오렌지,옐로우 만다린 이탈리안 레몬,인디안 패츌리 페티그레인 오렌지 우드,시칠리아의 어느 늦은 여름날 속의 과일과 여러 꽃들을 상기시키게 만들고 가장 행복했던 시절을 떠올리게 하는 향수,citrus(100.0) / green(74.9) / fresh spicy(60.1) / musky(59.5) / white floral(56.1) / fresh(54.9) / powdery(54.6) / woody(52.0) / fruity(49.8) / floral(46.3),winter(8.8) / spring(89.5) / summer(0.0) / fall(9.8),day(76.5) / night(78.4),Unisex,[100]
크리드,카미나 오 드 퍼퓸,https://www.bysuco.com/product/show/22181,오 드 퍼퓸,로즈 앰버 머스크,블랙체리 샤프란 핑크페퍼,5월의 장미 피오니 바이올렛 캐시미어 우드,머스크 암브록산 미르 프랑킨센스,를로럴과 앱버 우디가 만나 대담하면서도 관능적인 따뜻한 향,marine(100.0) / floral(92.9) / mineral(78.2) / aquatic(77.2) / salty(76.7) / fresh(65.4),winter(11.9) / spring(19.0) / summer(4.8) / fall(15.6),day(46.9) / night(100.0),Female,[30]
크리드,퀸 오브 실크 오 드 퍼퓸,https://www.bysuco.com/product/show/225075,오 드 퍼퓸,앰버 웜 스파이시 플로랄,사프란 오스만투스 매그놀리아,백향과 튜베로즈 패츌리 아가우드,마다가스카 바닐라 앰브로닉 머스크 샌달우드 인센스,매혹적이면서도 부드럽고 밝으면서도 따뜻한 향,amber(100.0) / smoky(74.2) / green(64.9) / balsamic(61.7) / warm spicy(60.2) / vanilla(58.5) / fresh(47.5) / sweet(46.3),winter(40.7) / spring(32.7) / summer(4.4) / fall(63.2),day(89.4) / night(71.5),Female,"[30, 75]"
크리드,타바롬 오 드 퍼퓸,https://www.bysuco.com/product/show/693907,오 드 퍼퓸,시트러스 웜 스파이시 타바코,텐저린 베르가못,진저,타바코 샌달우드 앰버그리스 레더 패츌리,우디하면서도 동양적인 느낌 향,woody(100.0) / warm spicy(67.3) / powdery(62.8) / tobacco(60.6) / aromatic(59.1) / sweet(49.4) / patchouli(48.7) / musky(48.1) / floral(47.0) / cinnamon(45.0),winter(3.8) / spring(9.4) / summer(0.0) / fall(76.9),day(19.2) / night(15.4),Male,"[50, 100]"
크리드,히말라야 오 드 퍼퓸,https://www.bysuco.com/product/show/9375,오 드 퍼퓸,시트러스 우디 파우더리,칼라브리안 베르가못 그레이프 프룻 시칠리안 레몬,샌달우드,머스크 앰버그리스 시더,시트러스의 상큼함과 우드의 따뜻함으로 시작되고 남성스러운 향을 거쳐 깨끗하고 드라이한 느낌으로 남는 향,citrus(100.0) / woody(84.8) / powdery(71.1) / musky(66.4) / amber(56.7) / aromatic(54.0) / animalic(51.5) / fresh spicy(50.5) / balsamic(44.5),winter(22.6) / spring(26.1) / summer(3.7) / fall(34.4),day(97.4) / night(85.0),Male,"[50, 100]"
킬리안,골드 나이트 오 드 퍼퓸 리필,https://www.bysuco.com/product/show/225428,오 드 퍼퓸,허니 스위트 아니스,아니스 베르가못,허니 바닐라,패출리,클림트의 그림 골드 나이트에서 영감 받은 달콤한 향,nutty(100.0) / yellow floral(100.0) / woody(100.0) / musky(95.1) / tuberose(93.0) / sweet(91.6) / white floral(87.4) / powdery(67.8) / animalic(58.7) / rose(51.0),winter(12.5) / spring(0.0) / summer(0.0) / fall(28.6),day(42.9) / night(100.0),Male,[50]
킬리안,굿걸 곤 배드 오 드 퍼퓸,https://www.bysuco.com/product/show/10524,오 드 퍼퓸,플로랄 화이트 플로랄 프루티,오스만투스 자스민 로즈,튜베로즈 나르시소스,앰버 시더,바람에 흩날리는 꽃의 향이 순수하지만 동시에 유혹적인 바이브를 전달하는 관능적인 향,floral(100.0) / white floral(95.4) / fruity(84.1) / tuberose(74.6) / yellow floral(56.3) / woody(54.2) / green(53.2) / rose(51.5) / soft spicy(50.0) / lactonic(48.9),winter(42.1) / spring(46.2) / summer(8.9) / fall(35.7),day(100.0) / night(74.6),Unisex,[50]
