brand,name,size_ml,price_krw,detail_url,description,부향률,메인 어코드,탑 노트,미들 노트,베이스 노트,향 설명,image_url,parse_path,fail_reason
디올,조이 바이 디올 오 드 퍼퓸,50ml,130000.0,https://www.bysuco.com/product/show/225086,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 우디 / 파우더리\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지\n- 미들 노트: 자스민, 그라스 로즈, 피치, 카시스\n- 베이스 노트: 화이트 머스크, 샌달우드, 시더, 패출리, 벤조인\n\n[향 설명]\n- 풍부한 과즙과 생기 넘치는 탐 노트 뒤로 플라워와 머스크의 하트 노트가 부드러운 손길처럼 감싸안듯 다가오는 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"시트러스, 우디, 파우더리","베르가못, 만다린 오렌지","자스민, 그라스 로즈, 피치, 카시스","화이트 머스크, 샌달우드, 시더, 패출리, 벤조인",풍부한 과즙과 생기 넘치는 탐 노트 뒤로 플라워와 머스크의 하트 노트가 부드러운 손길처럼 감싸안듯 다가오는 향,,,request_failed(search)
구찌,길티 뿌르 옴므 오 드 퍼퓸,50ml,105000.0,https://www.bysuco.com/product/show/22546,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 주니퍼, 라벤더, 레몬\n- 미들 노트: 오렌지, 블로썸, 너트맥, 스페니쉬 랍다넘\n- 베이스 노트: 드라이우드, 패츌리, 머스크\n\n[향 설명]\n- 미스테리하고 관능적이며 우디 스파이시 향",오 드 퍼퓸,"우디, 프레쉬 스파이시","주니퍼, 라벤더, 레몬","오렌지, 블로썸, 너트맥, 스페니쉬 랍다넘","드라이우드, 패츌리, 머스크",미스테리하고 관능적이며 우디 스파이시 향,,,request_failed(search)
구찌,길티 뿌르 옴므 오 드 퍼퓸,90ml,150240.0,https://www.bysuco.com/product/show/22546,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 주니퍼, 라벤더, 레몬\n- 미들 노트: 오렌지, 블로썸, 너트맥, 스페니쉬 랍다넘\n- 베이스 노트: 드라이우드, 패츌리, 머스크\n\n[향 설명]\n- 미스테리하고 관능적이며 우디 스파이시 향",오 드 퍼퓸,"우디, 프레쉬 스파이시","주니퍼, 라벤더, 레몬","오렌지, 블로썸, 너트맥, 스페니쉬 랍다넘","드라이우드, 패츌리, 머스크",미스테리하고 관능적이며 우디 스파이시 향,,,request_failed(search)
구찌,길티 뿌르 옴므 오 드 퍼퓸,150ml,198620.0,https://www.bysuco.com/product/show/22546,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 주니퍼, 라벤더, 레몬\n- 미들 노트: 오렌지, 블로썸, 너트맥, 스페니쉬 랍다넘\n- 베이스 노트: 드라이우드, 패츌리, 머스크\n\n[향 설명]\n- 미스테리하고 관능적이며 우디 스파이시 향",오 드 퍼퓸,"우디, 프레쉬 스파이시","주니퍼, 라벤더, 레몬","오렌지, 블로썸, 너트맥, 스페니쉬 랍다넘","드라이우드, 패츌리, 머스크",미스테리하고 관능적이며 우디 스파이시 향,,,request_failed(search)
랑콤,라 뉘 트레조 오 드 퍼퓸,30ml,89000.0,https://www.bysuco.com/product/show/693999,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 스위트 / 프루티 / 바닐라 \n\n[메인 노트]\n- 탑 노트: 배, 귤, 베르가못 \n- 미들 노트: 딸기, 바닐라, 오키드, 블랙 로즈, 페션후르츠 \n- 베이스 노트: 프랄릴, 카라멜, 리치, 바닐라, 패츌리, 인텐스, 커피, 감초, 쿠마린, 파피루스 \n\n[향 설명]\n- 가장 희귀한 원자재로 구성된 21세기의 새로운 사랑의 향수.",오 드 퍼퓸,"스위트, 프루티, 바닐라","배, 귤, 베르가못","딸기, 바닐라, 오키드, 블랙 로즈, 페션후르츠","프랄릴, 카라멜, 리치, 바닐라, 패츌리, 인텐스, 커피, 감초, 쿠마린, 파피루스",가장 희귀한 원자재로 구성된 21세기의 새로운 사랑의 향수.,,,request_failed(search)
킬리안,굿걸 곤 배드 오 드 퍼퓸 익스트림,50ml,363820.0,https://www.bysuco.com/product/show/225397,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 화이트 플로랄 / 흘로랄 / 락토닉\n\n[메인 노트]\n- 탑 노트: 오스만투스, 자스민 , 메이로즈\n- 미들 노트: 튜베로즈, 밀크 어코드\n- 베이스 노트: 앰버, 화이트 시더\n\n[향 설명]\n- 꽃과 감미로운 우뮤빛이 감싸는 매우 화려한 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"화이트 플로랄, 흘로랄, 락토닉","오스만투스, 자스민, 메이로즈","튜베로즈, 밀크 어코드","앰버, 화이트 시더",꽃과 감미로운 우뮤빛이 감싸는 매우 화려한 향,,,request_failed(search)
세르주 루텐,덩 르 블루 퀴 페띠유 오 드 퍼퓸,100ml,182100.0,https://www.bysuco.com/product/show/24390,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 앰버 / 마린 / 스모크\n\n[메인 노트]\n- 싱글 노트: 인센스, 유목, 코리안더\n\n[향 설명]\n- 깊은 수심과 여유로움 잔잔히 부서지는 밤바다",오 드 퍼퓸,"앰버, 마린, 스모크",,,,깊은 수심과 여유로움 잔잔히 부서지는 밤바다,,,request_failed(search)
킬리안,세이크리드 우드 오 드 퍼퓸 리필,50ml,244640.0,https://www.bysuco.com/product/show/225431,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 파우더리 / 웜 스파이시\n\n[메인 노트]\n- 탑 노트: 우디, 밀크, 핑크 페퍼\n- 미들 노트: 카라웨이, 당근, 스파이시\n- 베이스 노트: 앰버, 샌달우드\n\n[향 설명]\n- 아시아의 매력을 담은 향기로운 나무가 지닌 신비로운 마법을 불러내는 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"우디, 파우더리, 웜 스파이시","우디, 밀크, 핑크 페퍼","카라웨이, 당근, 스파이시","앰버, 샌달우드",아시아의 매력을 담은 향기로운 나무가 지닌 신비로운 마법을 불러내는 향,,,request_failed(search)
디올,화렌하이트 퍼퓸,75ml,182100.0,https://www.bysuco.com/product/show/225157,"[부향률] \n- 퍼퓸\n\n[메인 어코드]\n- 바닐라 / 소프트 스파이 / 아쿠아틱\n\n[메인 노트]\n- 탑 노트: 스웨이드, 시칠리안 만다린\n- 미들 노트: 바이올렛 잎, 럼, 코리안더, 큐민\n- 베이스 노트: 부르 바닐라\n\n[향 설명]\n- 강인함과 우아함을 결합한 반대의 조화를 가진 새롭고 강렬한 화씨 향수",퍼퓸,"바닐라, 소프트 스파이, 아쿠아틱","스웨이드, 시칠리안 만다린","바이올렛 잎, 럼, 코리안더, 큐민",부르 바닐라,강인함과 우아함을 결합한 반대의 조화를 가진 새롭고 강렬한 화씨 향수,,,request_failed(search)
버버리,히어로 포 맨 오 드 뚜왈렛,50ml,82000.0,https://www.bysuco.com/product/show/21894,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 우디 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 베르가못\n- 미들 노트: 주니퍼, 블랙페퍼\n- 베이스 노트:아틀라스 시더, 히말라얀 시더, 버지니아 시더\n\n[향 설명]\n- 시더우드와 시트러스가 조화롭게 어우러져 화사하면서 매력적인 이미지 연출",오 드 뚜왈렛,"우디, 프레쉬 스파이시",베르가못,"주니퍼, 블랙페퍼","아틀라스 시더, 히말라얀 시더, 버지니아 시더",시더우드와 시트러스가 조화롭게 어우러져 화사하면서 매력적인 이미지 연출,,,request_failed(search)
아쿠아 디 파르마,콜로니아 퓨투라 오 드 코롱,100ml,193900.0,https://www.bysuco.com/product/show/21738,"[부향률] \n- 오 드 코롱\n\n[메인 어코드]\n- 시트러스 / 아로마틱 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 베르가못, 레몬, 자몽, 핑크 페퍼\n- 미들 노트: 라벤더, 세이지\n- 베이스 노트: 베티버\n\n[향 설명]\n- 시트러스와 우디함이 어우러진 생동감 있고 꾸밈 없는 이미지를 연출",오 드 코롱,"시트러스, 아로마틱, 프레쉬 스파이시","베르가못, 레몬, 자몽, 핑크 페퍼","라벤더, 세이지",베티버,시트러스와 우디함이 어우러진 생동감 있고 꾸밈 없는 이미지를 연출,,,request_failed(search)
