perfume_name,notes_score,season_score,day_night_score
Not a Parfum,tropical(100.0) / floral(97.4) / coconut(93.6) / musky(87.0) / ozonic(83.7) / powdery(82.2) / lactonic(77.7) / vanilla(75.3) / sweet(68.9) / woody(64.9),winter(53.2) / spring(34.0) / summer(40.4) / fall(42.6),day(75.9) / night(100.0)
Lombre Dans L'eau,fruity(100.0) / green(80.8) / aromatic(77.1) / soft spicy(61.2) / rose(59.3) / fresh spicy(50.2) / woody(49.8) / citrus(47.3) / floral(46.7),winter(20.0) / spring(37.5) / summer(4.2) / fall(21.3),day(100.0) / night(86.3)
Eau Rose,rose(100.0) / fruity(71.0) / floral(60.9) / fresh spicy(55.7) / aromatic(52.4) / musky(50.0) / citrus(49.3) / woody(47.9) / tropical(47.1) / powdery(44.1),winter(22.9) / spring(12.0) / summer(1.3) / fall(15.8),day(100.0) / night(76.6)
X Vetiver,fresh spicy(100.0) / woody(98.4) / aromatic(74.5) / white floral(61.8) / sweet(61.8) / earthy(58.6) / citrus(53.9) / fruity(50.7) / herbal(49.1) / amber(45.9),winter(0.0) / spring(0.0) / summer(33.3) / fall(33.3),day(100.0) / night(33.3)
Freesia,floral(100.0) / fruity(76.4) / citrus(72.7) / sweet(67.3) / patchouli(64.1) / white floral(62.0) / green(61.6) / aromatic(53.7) / woody(53.0) / rose(51.3),winter(37.5) / spring(21.9) / summer(3.1) / fall(32.3),day(96.8) / night(71.0)
Sauvage,fresh spicy(100.0) / amber(71.7) / citrus(69.6) / aromatic(63.5) / musky(57.9) / woody(54.2) / lavender(46.2) / herbal(45.7) / warm spicy(45.3),winter(23.6) / spring(36.1) / summer(12.3) / fall(66.3),day(100.0) / night(92.4)
Aventus for Her,fruity(100.0) / citrus(86.3) / woody(79.6) / powdery(75.4) / musky(74.8) / floral(61.3) / fresh(60.8) / amber(56.1) / soft spicy(55.7) / green(55.3),winter(38.6) / spring(64.2) / summer(14.5) / fall(34.7),day(92.5) / night(83.2)
Bergamot 22,citrus(100.0) / aromatic(68.3) / woody(65.0) / white floral(58.0) / fresh spicy(54.3) / musky(48.3) / green(45.2) / earthy(44.6),winter(40.0) / spring(0.0) / summer(0.0) / fall(0.0),day(100.0) / night(100.0)
H24,aromatic(100.0) / yellow floral(73.4) / soft spicy(69.4) / woody(60.7) / green(57.2) / balsamic(47.7) / amber(45.3),winter(42.8) / spring(33.0) / summer(12.3) / fall(18.7),day(100.0) / night(94.5)
Eude Wood Set,warm spicy(100.0) / citrus(89.5) / amber(87.5) / cinnamon(87.5) / patchouli(77.9) / leather(77.9) / green(77.9) / aromatic(75.1) / fresh spicy(71.2) / rose(68.4),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(0.0)
724,white floral(100.0) / aldehydic(99.0) / musky(83.4) / citrus(76.3) / fresh(75.4) / powdery(70.2) / floral(66.7) / sweet(61.9) / fresh spicy(53.2) / woody(52.3),winter(58.2) / spring(29.2) / summer(15.5) / fall(24.1),day(95.7) / night(100.0)
Vireré,green(100.0) / aromatic(72.1) / fresh spicy(70.6) / woody(61.1) / citrus(61.0) / herbal(49.0) / fresh(45.6),winter(48.1) / spring(17.3) / summer(16.0) / fall(16.0),day(100.0) / night(89.4)
Ethersis,musky(100.0) / animalic(85.3) / leather(66.8) / rose(66.8) / white floral(66.8) / powdery(63.2) / floral(48.4),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(0.0) / night(0.0)
Ombré Leather,leather(100.0) / animalic(71.0) / warm spicy(58.3) / white floral(58.0) / amber(53.2) / smoky(51.0) / earthy(47.2) / mossy(46.3) / patchouli(44.5),winter(10.5) / spring(9.4) / summer(5.3) / fall(100.0),day(39.4) / night(15.2)
Philosykos,green(100.0) / woody(83.1) / sweet(62.0) / fresh(58.0) / fruity(54.6) / lactonic(52.5) / coconut(51.6),winter(17.0) / spring(20.4) / summer(2.9) / fall(14.6),day(95.0) / night(99.0)
Geranium Pour Monsieur,aromatic(100.0) / fresh spicy(97.7) / green(78.8) / warm spicy(68.9) / rose(51.4) / amber(50.0) / anis(48.9) / herbal(47.4) / soft spicy(47.0) / powdery(46.0),winter(21.5) / spring(31.6) / summer(4.5) / fall(20.5),day(95.4) / night(100.0)
J'adore,white floral(100.0) / floral(87.0) / fruity(82.2) / sweet(64.7) / fresh(63.9) / aquatic(55.1) / citrus(54.8) / powdery(51.3) / ozonic(46.8) / tuberose(46.8),winter(16.1) / spring(49.7) / summer(3.8) / fall(47.4),day(92.5) / night(54.9)
Philosykos,green(100.0) / woody(83.1) / sweet(62.0) / fresh(58.0) / fruity(54.6) / lactonic(52.5) / coconut(51.6),winter(17.0) / spring(20.4) / summer(2.9) / fall(14.6),day(95.0) / night(99.0)
Colonia Essenza,citrus(100.0) / aromatic(68.7) / fresh spicy(55.8) / white floral(52.0) / woody(51.7) / earthy(46.5) / green(44.2),winter(8.3) / spring(11.1) / summer(2.8) / fall(19.2),day(88.5) / night(88.5)
Fleur Narcotique,white floral(100.0) / floral(97.9) / fresh(96.4) / fruity(88.5) / citrus(83.3) / musky(64.8) / rose(58.8) / tropical(57.8) / powdery(57.5) / woody(55.2),winter(41.2) / spring(53.2) / summer(18.4) / fall(29.8),day(100.0) / night(83.2)
No. 5,citrus(100.0) / floral(83.3) / fresh spicy(81.1) / sweet(77.7) / rose(75.2) / aromatic(69.9) / white floral(69.5) / patchouli(68.1) / woody(65.1) / warm spicy(58.6),winter(29.8) / spring(19.1) / summer(0.0) / fall(18.5),day(88.9) / night(92.6)
Le Jardin de Monsieur Li,citrus(100.0) / green(84.1) / white floral(81.6) / aromatic(79.6) / fresh(50.7) / fresh spicy(48.8),winter(16.8) / spring(18.0) / summer(0.7) / fall(8.6),day(80.6) / night(100.0)
Miss Dior Blooming Bouquet,floral(100.0) / rose(99.5) / fresh(76.2) / fruity(61.4) / musky(56.5) / citrus(54.0) / powdery(53.7) / sweet(45.2),winter(20.4) / spring(23.2) / summer(2.0) / fall(13.9),day(100.0) / night(70.7)
Magnolia Nobile,citrus(100.0) / woody(90.1) / floral(80.1) / white floral(78.4) / aromatic(61.8) / rose(53.1) / tuberose(53.1) / powdery(51.4) / vanilla(47.7) / earthy(45.8),winter(24.1) / spring(13.8) / summer(3.4) / fall(25.0),day(87.5) / night(68.8)
Magnolia Nobile,citrus(100.0) / woody(90.1) / floral(80.1) / white floral(78.4) / aromatic(61.8) / rose(53.1) / tuberose(53.1) / powdery(51.4) / vanilla(47.7) / earthy(45.8),winter(24.1) / spring(13.8) / summer(3.4) / fall(25.0),day(87.5) / night(68.8)
Tam Dao,woody(100.0) / powdery(58.7) / warm spicy(46.9) / aromatic(46.0) / amber(43.0),winter(30.1) / spring(17.2) / summer(4.0) / fall(72.7),day(68.9) / night(39.6)
Wood Sage & Sea Salt,aromatic(100.0) / salty(80.1) / marine(79.7) / citrus(73.5) / musky(71.6) / herbal(68.3) / soft spicy(57.4) / floral(53.0) / aquatic(47.3),winter(22.0) / spring(11.1) / summer(1.9) / fall(18.8),day(72.2) / night(100.0)
Terre d'Hermes Eau Gibre,citrus(100.0) / woody(76.9) / fresh spicy(73.2) / aromatic(67.7) / mineral(58.0),winter(13.3) / spring(5.1) / summer(2.4) / fall(9.8),day(80.6) / night(100.0)
L'Eau Papier,musky(100.0) / powdery(89.4) / yellow floral(66.6) / woody(61.1) / sweet(49.2) / floral(46.3) / aromatic(44.2),winter(26.9) / spring(15.0) / summer(4.6) / fall(65.2),day(97.1) / night(68.6)
The Matcha 26,woody(100.0) / fruity(65.7) / citrus(60.5) / green(54.4) / aromatic(53.3) / powdery(52.7) / sweet(52.3) / earthy(47.0),winter(31.2) / spring(13.4) / summer(5.4) / fall(36.8),day(100.0) / night(76.8)
Rose of No Man's Land,rose(100.0) / floral(63.7) / soft spicy(53.7) / woody(52.3) / amber(50.0),winter(31.6) / spring(25.7) / summer(4.6) / fall(47.0),day(98.0) / night(57.8)
