perfume_name,notes_score,season_score,day_night_score
Tabacco Toscano,tobacco(100.0) / leather(85.9) / woody(85.9) / vanilla(85.1) / sweet(76.9) / powdery(70.5) / amber(68.7) / smoky(65.4) / animalic(50.9) / citrus(45.2),winter(23.7) / spring(12.5) / summer(2.7) / fall(86.6),day(41.8) / night(24.4)
Noir,warm spicy(100.0) / sweet(93.3) / vanilla(91.6) / woody(87.0) / powdery(69.6) / amber(66.8) / fresh spicy(63.7) / aromatic(62.1) / white floral(60.4) / balsamic(54.3),winter(9.0) / spring(8.5) / summer(1.3) / fall(100.0),day(31.1) / night(12.0)
Rose Tonnerre,rose(100.0) / fresh spicy(55.6) / aromatic(52.5) / floral(51.6) / earthy(44.8) / honey(44.0),winter(16.1) / spring(23.5) / summer(4.3) / fall(72.9),day(100.0) / night(54.5)
L'Oise La Rose,rose(100.0) / aldehydic(60.6) / floral(51.0) / mineral(48.4) / citrus(33.5),winter(27.8) / spring(5.6) / summer(5.6) / fall(33.3),day(75.0) / night(58.3)
Eau Rose Solid Parfum,rose(100.0) / floral(55.7) / vanilla(53.3) / white floral(53.3) / powdery(37.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Night Veils Ren de Nuit Extract de Parfum,cacao(100.0) / warm spicy(99.5) / fruity(97.3) / patchouli(84.9) / woody(83.1) / rose(80.3) / floral(61.9) / soft spicy(53.5) / earthy(52.0) / balsamic(46.5),winter(31.7) / spring(14.6) / summer(7.3) / fall(95.8),day(38.1) / night(17.7)
L'Ode Hesfrides,citrus(100.0) / aromatic(99.0) / woody(92.0) / earthy(57.0) / fresh spicy(54.0) / floral(53.0) / green(52.4) / soft spicy(52.0) / white floral(50.0) / warm spicy(50.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(100.0) / night(100.0)
Portrait the Tragedy Lord George,woody(100.0) / amber(76.8) / vanilla(52.7) / warm spicy(48.7) / sweet(45.0),winter(28.3) / spring(15.9) / summer(3.9) / fall(93.5),day(46.3) / night(18.6)
Animalique,powdery(100.0) / leather(76.8) / violet(69.6) / musky(63.4) / amber(58.2) / tobacco(56.8) / yellow floral(55.9) / floral(54.5) / sweet(52.0),winter(30.3) / spring(21.5) / summer(7.4) / fall(88.2),day(58.2) / night(21.2)
Guilty Elixir de Parfum Pour Homme,vanilla(100.0) / white floral(89.3) / warm spicy(76.0) / powdery(72.2) / iris(66.6) / amber(65.0) / floral(61.5) / citrus(59.7) / fresh spicy(59.5) / sweet(59.3),winter(15.2) / spring(10.1) / summer(8.8) / fall(95.6),day(96.1) / night(43.9)
For Her,citrus(100.0) / floral(98.3) / fresh(95.8) / sweet(86.2) / soft spicy(80.5) / fruity(72.4) / powdery(60.1) / rose(59.9) / musky(55.0) / yellow floral(54.8),winter(21.6) / spring(10.8) / summer(0.0) / fall(13.9),day(88.9) / night(94.4)
English Pear and Freesia Special Edition,tuberose(100.0) / amber(93.2) / white floral(86.0) / musky(75.9) / powdery(61.5) / animalic(56.3) / woody(51.7) / green(44.0),winter(14.3) / spring(28.6) / summer(7.1) / fall(100.0),day(85.7) / night(57.1)
Dior Addict Eau Fraîche,floral(100.0) / citrus(97.3) / musky(62.6) / fresh spicy(61.1) / white floral(60.4) / powdery(51.9) / green(50.6) / aromatic(48.9) / fresh(48.2),winter(17.5) / spring(18.8) / summer(0.6) / fall(11.7),day(84.9) / night(95.8)
Music for a Day,sweet(100.0) / caramel(92.0) / balsamic(33.0),winter(46.2) / spring(92.3) / summer(7.7) / fall(16.7),day(66.7) / night(100.0)
Les Méditerranées,white floral(100.0) / tropical(64.3) / coconut(55.7) / fruity(55.1) / sweet(42.6),winter(50.0) / spring(13.2) / summer(21.1) / fall(11.4),day(47.7) / night(100.0)
Black Opium Over Red,cherry(100.0) / vanilla(96.5) / sweet(86.7) / coffee(79.0) / white floral(78.0) / warm spicy(69.8) / citrus(57.2) / patchouli(50.9) / powdery(50.0) / nutty(47.5),winter(23.9) / spring(11.6) / summer(3.5) / fall(98.5),day(34.7) / night(18.1)
Eau de Mervaille Blue,marine(100.0) / woody(76.4) / aromatic(72.0) / salty(58.0) / aquatic(51.0) / patchouli(47.8),winter(19.4) / spring(29.5) / summer(1.6) / fall(10.8),day(56.6) / night(100.0)
Black Lacquer,woody(100.0) / aromatic(88.9) / fresh spicy(72.8) / vinyl(67.3) / warm spicy(63.3) / amber(60.3) / balsamic(47.5) / rum(44.7),winter(42.5) / spring(23.5) / summer(17.0) / fall(100.0),day(25.6) / night(14.2)
The Night,oud(100.0) / rose(92.5) / amber(79.2) / warm spicy(62.6) / floral(48.7) / smoky(44.4) / fresh spicy(44.0),winter(8.5) / spring(23.2) / summer(17.3) / fall(100.0),day(30.4) / night(20.2)
Wood Satin Mood Extrae de Parfum,tropical(100.0) / green(91.5) / fruity(89.7) / sweet(89.6) / vanilla(63.2) / powdery(60.5) / floral(59.6) / fresh spicy(57.1) / fresh(56.1) / woody(54.6),winter(26.5) / spring(58.5) / summer(6.5) / fall(18.8),day(89.2) / night(95.2)
La Pin du Monde,warm spicy(100.0) / woody(67.1) / camphor(49.6) / oud(42.3) / aromatic(40.6),winter(100.0) / spring(33.3) / summer(0.0) / fall(50.0),day(100.0) / night(100.0)
Fahrenheit,leather(100.0) / woody(88.9) / ozonic(81.1) / fresh spicy(77.1) / animalic(73.8) / aromatic(73.7) / aquatic(67.6) / floral(66.2) / citrus(61.2) / green(57.3),winter(8.5) / spring(32.5) / summer(7.9) / fall(100.0),day(55.0) / night(28.1)
Viking,aromatic(100.0) / fresh spicy(78.3) / green(75.0) / citrus(74.4) / soft spicy(59.0) / lavender(56.0) / woody(52.6) / rose(49.4) / musky(47.9) / sweet(45.0),winter(24.3) / spring(33.4) / summer(5.5) / fall(73.5),day(99.1) / night(66.1)
Monsieur,woody(100.0) / patchouli(84.9) / amber(84.1) / warm spicy(78.3) / balsamic(66.8) / smoky(58.8) / rum(55.6) / earthy(52.0) / citrus(49.9) / powdery(49.2),winter(16.2) / spring(25.6) / summer(6.5) / fall(96.9),day(47.2) / night(16.8)
Viking Cologne s,aromatic(100.0) / citrus(94.6) / fresh spicy(82.2) / woody(79.3) / lavender(54.9) / herbal(49.7) / soft spicy(48.1) / earthy(44.1) / warm spicy(44.0),winter(43.4) / spring(17.5) / summer(8.4) / fall(20.6),day(98.2) / night(100.0)
Viking Cologne,aromatic(100.0) / citrus(94.6) / fresh spicy(82.2) / woody(79.3) / lavender(54.9) / herbal(49.7) / soft spicy(48.1) / earthy(44.1) / warm spicy(44.0),winter(43.4) / spring(17.5) / summer(8.4) / fall(20.6),day(98.2) / night(100.0)
Allure Homme,aromatic(100.0) / woody(78.0) / fresh spicy(74.3) / citrus(72.6) / green(72.3) / vanilla(71.5) / sweet(60.7) / musky(60.3) / amber(59.7) / warm spicy(58.5),winter(9.6) / spring(12.8) / summer(1.8) / fall(46.4),day(100.0) / night(92.8)
Velvet Rose & Intense,rose(100.0) / oud(81.6) / sweet(70.5) / floral(51.0) / nutty(50.3) / warm spicy(44.7),winter(30.8) / spring(7.7) / summer(7.7) / fall(75.0),day(28.6) / night(21.4)
Bois du Portugal,woody(100.0) / aromatic(68.7) / lavender(61.1) / citrus(53.0) / powdery(51.8) / fresh spicy(50.8) / amber(47.8),winter(15.1) / spring(17.9) / summer(3.6) / fall(77.4),day(82.4) / night(43.0)
Colonia,woody(100.0) / citrus(82.0) / aromatic(71.6) / warm spicy(64.8) / patchouli(60.6) / powdery(56.3) / herbal(51.7) / balsamic(50.8),winter(0.0) / spring(0.0) / summer(0.0) / fall(28.6),day(85.7) / night(100.0)
Colonia Il Profumo,citrus(100.0) / aromatic(56.5) / fresh spicy(49.8) / woody(49.2) / green(41.3),winter(29.0) / spring(7.2) / summer(8.0) / fall(10.6),day(95.8) / night(100.0)
Eau Pour Homme,citrus(100.0) / fresh(65.0) / fresh spicy(44.0) / aromatic(33.5),winter(0.0) / spring(0.0) / summer(0.0) / fall(66.7),day(66.7) / night(100.0)
Orange Blossom,white floral(100.0) / citrus(66.5) / floral(61.6) / sweet(53.6) / fresh(46.0),winter(19.8) / spring(26.3) / summer(2.5) / fall(10.4),day(88.0) / night(94.6)
Ex Vetiver,citrus(100.0) / aromatic(91.6) / woody(74.1) / musky(71.6) / earthy(64.8) / amber(60.7) / fresh spicy(47.4) / green(45.1) / powdery(45.1),winter(51.4) / spring(26.6) / summer(8.4) / fall(28.1),day(100.0) / night(84.6)
Woman in Gold Coffret,vanilla(100.0) / citrus(80.0) / rose(73.5) / woody(65.7) / fresh spicy(64.0) / aromatic(61.8) / warm spicy(59.9) / floral(59.4) / sweet(56.9) / oud(54.2),winter(33.0) / spring(27.6) / summer(5.1) / fall(83.4),day(73.6) / night(42.5)
Honeysuckle & Davana,white floral(100.0) / aromatic(70.5) / green(66.0) / fruity(65.0) / mossy(64.2) / rose(56.9) / earthy(53.9) / yellow floral(51.0) / balsamic(48.0),winter(40.1) / spring(36.5) / summer(5.4) / fall(22.5),day(100.0) / night(76.1)
Aqua di Gioia,aromatic(100.0) / citrus(99.9) / green(96.4) / white floral(68.7) / fresh spicy(63.2) / woody(59.2) / fresh(47.9),winter(12.3) / spring(34.4) / summer(1.4) / fall(11.6),day(67.0) / night(100.0)
Jasmine Rouge,woody(100.0) / warm spicy(86.1) / powdery(73.4) / fresh spicy(55.4) / musky(51.9) / amber(49.4) / cinnamon(46.0) / oud(45.9) / yellow floral(44.8) / aromatic(44.3),winter(14.1) / spring(25.0) / summer(4.0) / fall(68.8),day(51.6) / night(28.5)
Royal Princess Wood,woody(100.0) / powdery(95.0) / violet(84.2) / white floral(81.2) / patchouli(69.1) / citrus(66.9) / floral(65.5) / warm spicy(63.1) / balsamic(58.0) / oud(57.1),winter(25.0) / spring(8.3) / summer(100.0) / fall(100.0),day(33.3) / night(83.3)
Eau de Mervais,woody(100.0) / citrus(92.1) / aromatic(90.5) / yellow floral(81.0) / tuberose(76.8) / fresh spicy(68.1) / white floral(67.5) / leather(62.8) / sweet(55.5) / animalic(51.9),winter(17.2) / spring(14.6) / summer(1.8) / fall(10.0),day(86.0) / night(100.0)
Hope,oud(100.0) / aromatic(98.3) / woody(87.3) / fresh spicy(79.8) / smoky(78.1) / leather(75.3) / amber(64.1) / animalic(59.4) / earthy(50.2) / soft spicy(46.1),winter(20.4) / spring(12.7) / summer(13.4) / fall(100.0),day(39.5) / night(27.2)
Nectarine Blossom & Honey Gift Package,fruity(100.0) / floral(88.8) / sweet(86.8) / fresh(63.5) / honey(53.3) / powdery(51.3) / musky(50.3) / soft spicy(48.3) / aromatic(45.2),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(0.0)
Libre Le Parfum,vanilla(100.0) / sweet(90.6) / citrus(85.9) / honey(76.5) / white floral(69.0) / lavender(68.5) / fresh spicy(67.3) / aromatic(65.6) / warm spicy(56.1) / floral(49.7),winter(16.3) / spring(11.1) / summer(4.7) / fall(100.0),day(33.0) / night(17.4)
Dawson Solid Perfume,chocolate(100.0) / sweet(100.0) / warm spicy(100.0) / cacao(87.3),winter(0.0) / spring(100.0) / summer(0.0) / fall(100.0),day(0.0) / night(0.0)
Soleil Neige Perfume,herbal(100.0) / fresh spicy(92.9) / aromatic(81.6) / sweet(75.9) / green(65.7) / lavender(64.0) / warm spicy(57.2) / citrus(52.7) / bitter(46.4),winter(40.0) / spring(0.0) / summer(40.0) / fall(50.0),day(100.0) / night(75.0)
Black Phantom Travel Set,sweet(100.0) / warm spicy(92.7) / almond(75.7) / coffee(69.5) / caramel(67.0) / chocolate(65.6) / rum(65.6) / woody(63.1) / powdery(53.7) / nutty(52.2),winter(17.6) / spring(5.9) / summer(3.9) / fall(100.0),day(26.8) / night(8.5)
Eau Sauvage Perfume,aromatic(100.0) / citrus(92.2) / fresh spicy(79.4) / woody(66.5) / earthy(56.3) / green(47.8) / mossy(47.7) / floral(44.7),winter(9.6) / spring(18.4) / summer(2.1) / fall(18.4),day(90.7) / night(99.7)
Miss Dior Roller Pearl,floral(100.0) / rose(99.3) / citrus(77.9) / fresh(72.9) / fruity(62.9) / powdery(53.7) / musky(51.5) / sweet(45.5),winter(19.7) / spring(9.3) / summer(0.5) / fall(16.9),day(100.0) / night(77.8)
Alchemist Garden A Floral Verse,white floral(100.0) / musky(74.3) / green(72.0) / fresh(58.0) / powdery(52.2) / floral(44.0) / ozonic(44.0),winter(47.3) / spring(10.9) / summer(14.5) / fall(39.2),day(100.0) / night(72.5)
Irresistible,sweet(100.0) / vanilla(75.7) / almond(71.9) / caramel(62.0) / nutty(49.1) / fruity(45.9) / powdery(44.6),winter(23.5) / spring(17.6) / summer(17.6) / fall(50.0),day(33.3) / night(16.7)
Good Girl Gone Bad Refill,white floral(100.0) / woody(78.2) / yellow floral(73.3) / tuberose(72.4) / vanilla(59.6) / sweet(57.6) / rose(56.0) / powdery(50.4) / animalic(49.7),winter(28.2) / spring(33.4) / summer(4.9) / fall(70.1),day(88.3) / night(46.1)
Tiffany & Love for Her,citrus(100.0) / fresh spicy(77.5) / aromatic(74.0) / woody(70.3) / green(55.0) / white floral(49.5) / fresh(46.6),winter(35.1) / spring(17.4) / summer(2.4) / fall(15.1),day(90.6) / night(93.9)
Barenia,woody(100.0) / patchouli(68.6) / warm spicy(61.4) / oud(57.1) / floral(54.4) / fruity(54.3) / citrus(53.6) / sweet(50.8) / earthy(49.5) / fresh spicy(46.5),winter(33.2) / spring(26.5) / summer(11.1) / fall(69.1),day(78.8) / night(45.6)
J'adore Infinissime,white floral(100.0) / tuberose(69.0) / woody(61.6) / yellow floral(57.5) / citrus(52.1) / sweet(47.3),winter(45.5) / spring(35.2) / summer(11.1) / fall(70.7),day(85.2) / night(44.1)
Man Glacial Essence,woody(100.0) / fresh spicy(83.5) / aromatic(80.3) / powdery(57.9) / musky(54.1) / herbal(49.2),winter(57.5) / spring(31.2) / summer(8.0) / fall(21.0),day(91.4) / night(100.0)
Santalle Blush,woody(100.0) / warm spicy(86.1) / powdery(73.4) / fresh spicy(55.4) / musky(51.9) / amber(49.4) / cinnamon(46.0) / oud(45.9) / yellow floral(44.8) / aromatic(44.3),winter(14.1) / spring(25.0) / summer(4.0) / fall(68.8),day(51.6) / night(28.5)
Vetiver Morocco,aromatic(100.0) / fresh spicy(67.1) / woody(63.4) / citrus(57.0) / earthy(48.0) / rose(47.0) / herbal(45.9) / green(45.5),winter(0.0) / spring(0.0) / summer(0.0) / fall(50.0),day(100.0) / night(75.0)
Fleur d'Orangie,citrus(100.0) / white floral(81.5) / aromatic(50.5) / fresh spicy(45.0) / sweet(43.9),winter(29.2) / spring(27.5) / summer(3.1) / fall(13.3),day(92.2) / night(100.0)
Pour Him Vetiver Musk,aromatic(100.0) / woody(80.8) / fresh spicy(77.4) / amber(68.4) / earthy(60.5) / rose(53.7) / soft spicy(51.5) / warm spicy(50.3) / musky(50.3) / powdery(47.5),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(0.0) / night(0.0)
Concentrée d'Orangie Berthe,amber(100.0) / ozonic(95.3) / marine(87.9) / aromatic(77.6) / white floral(70.4) / vanilla(68.9) / warm spicy(68.9) / animalic(67.6) / aldehydic(58.0) / salty(56.3),winter(20.7) / spring(27.6) / summer(0.0) / fall(7.3),day(53.7) / night(100.0)
Black Opium,vanilla(100.0) / coffee(87.0) / sweet(82.1) / white floral(75.4) / warm spicy(74.7) / soft spicy(64.5) / woody(63.3) / fruity(61.5) / balsamic(53.5) / powdery(53.2),winter(24.0) / spring(34.8) / summer(7.2) / fall(97.7),day(23.7) / night(15.3)
Passe Soiree,fresh spicy(100.0) / caramel(84.8) / amber(84.3) / balsamic(64.7) / herbal(63.7) / sweet(63.2) / aromatic(53.9) / woody(52.9) / fruity(52.6) / animalic(52.1),winter(22.9) / spring(46.0) / summer(6.7) / fall(93.5),day(17.4) / night(13.8)
Eau Mohely,yellow floral(100.0) / floral(85.8) / woody(78.6) / sweet(73.0) / fresh spicy(60.1) / amber(55.9) / soft spicy(52.4) / fresh(48.8) / warm spicy(48.6) / earthy(45.3),winter(20.9) / spring(22.8) / summer(1.6) / fall(16.7),day(89.9) / night(99.4)
Tonka 25,woody(100.0) / musky(97.0) / vanilla(95.9) / amber(93.3) / powdery(84.8) / sweet(76.1) / white floral(72.0) / aromatic(52.0) / citrus(51.0) / balsamic(50.8),winter(53.3) / spring(41.9) / summer(7.4) / fall(87.3),day(54.2) / night(26.7)
Sauvage Elixir,warm spicy(100.0) / fresh spicy(82.1) / woody(78.5) / aromatic(78.2) / lavender(75.9) / soft spicy(68.5) / cinnamon(61.5) / amber(54.4) / powdery(50.3) / balsamic(48.4),winter(11.4) / spring(9.0) / summer(6.8) / fall(100.0),day(51.9) / night(21.9)
L'Orévé Dubert,yellow floral(100.0) / powdery(84.5) / sweet(79.8) / woody(72.4) / honey(72.4) / floral(60.7) / musky(56.2) / warm spicy(55.5) / fresh spicy(53.6) / citrus(49.4),winter(29.0) / spring(44.0) / summer(6.0) / fall(30.7),day(82.7) / night(61.3)
Ambra,green(100.0) / citrus(74.2) / aromatic(71.9) / amber(69.7) / vanilla(62.4) / powdery(60.9) / fresh spicy(52.1) / musky(51.7) / soft spicy(47.2) / white floral(45.2),winter(32.0) / spring(15.9) / summer(2.1) / fall(18.4),day(100.0) / night(91.7)
Allure,aromatic(100.0) / woody(78.0) / fresh spicy(74.3) / citrus(72.6) / green(72.3) / vanilla(71.5) / sweet(60.7) / musky(60.3) / amber(59.7) / warm spicy(58.5),winter(9.6) / spring(12.8) / summer(1.8) / fall(46.4),day(100.0) / night(92.8)
Allure,aromatic(100.0) / woody(78.0) / fresh spicy(74.3) / citrus(72.6) / green(72.3) / vanilla(71.5) / sweet(60.7) / musky(60.3) / amber(59.7) / warm spicy(58.5),winter(9.6) / spring(12.8) / summer(1.8) / fall(46.4),day(100.0) / night(92.8)
Acqua della Regina,citrus(100.0) / aromatic(81.7) / fresh spicy(77.2) / fresh(60.7) / lavender(53.2) / white floral(52.8) / woody(49.0) / green(47.0) / warm spicy(46.3),winter(69.7) / spring(21.0) / summer(2.5) / fall(12.9),day(89.5) / night(100.0)
Red Hibiscus Cologne Intense,white floral(100.0) / vanilla(98.1) / yellow floral(94.3) / floral(89.8) / sweet(77.5) / woody(55.7) / powdery(50.4) / citrus(47.0) / fresh spicy(44.8),winter(76.8) / spring(24.6) / summer(5.8) / fall(25.4),day(93.0) / night(95.8)
Tobacco Vanillin,vanilla(100.0) / sweet(89.7) / powdery(59.6) / tobacco(57.1) / honey(57.1) / fruity(54.4) / amber(51.7) / warm spicy(48.4) / woody(47.4),winter(0.0) / spring(0.0) / summer(25.0) / fall(100.0),day(25.0) / night(0.0)
Vetiver 46 (Bulk Product),woody(100.0) / amber(87.4) / fresh spicy(71.5) / aromatic(62.8) / warm spicy(62.1) / earthy(48.2),winter(31.5) / spring(27.9) / summer(4.6) / fall(73.6),day(67.0) / night(34.0)
Ylang 49,woody(100.0) / earthy(79.0) / patchouli(66.6) / yellow floral(66.4) / mossy(62.5) / white floral(60.1) / warm spicy(59.1) / sweet(48.2) / balsamic(45.7) / aromatic(44.5),winter(31.1) / spring(36.2) / summer(10.2) / fall(64.0),day(92.0) / night(52.7)
Coco Mademoiselle Perfume,citrus(100.0) / rose(85.0) / musky(80.0) / white floral(70.6) / powdery(55.0) / floral(54.6),winter(35.7) / spring(18.2) / summer(4.9) / fall(66.3),day(100.0) / night(79.0)
Costa Azura Perfume,vanilla(100.0) / powdery(81.2) / woody(71.9) / citrus(68.5) / sweet(65.8) / aromatic(65.4) / amber(64.6) / floral(61.2) / white floral(60.8) / fruity(58.5),winter(0.0) / spring(100.0) / summer(0.0) / fall(71.4),day(14.3) / night(14.3)
Ilha Domel,white floral(100.0) / floral(80.1) / honey(77.0) / sweet(72.2) / fresh spicy(58.6) / citrus(57.4) / green(55.7) / yellow floral(47.5) / powdery(44.2),winter(28.5) / spring(22.6) / summer(5.3) / fall(25.4),day(100.0) / night(84.8)
Good Girl Gone Bad Eau Fresh Refill,white floral(100.0) / aquatic(66.2) / musky(55.4) / fresh(53.9) / tuberose(51.6) / citrus(49.7) / floral(48.2) / rose(47.9) / animalic(46.1),winter(47.5) / spring(40.3) / summer(15.1) / fall(29.8),day(100.0) / night(92.7)
Flora Gorgeous Magnolia,floral(100.0) / coconut(85.7) / fruity(77.2) / musky(70.4) / sweet(67.5) / white floral(66.3) / citrus(58.9) / patchouli(56.8) / lactonic(53.8) / powdery(50.2),winter(43.3) / spring(22.5) / summer(5.7) / fall(25.6),day(100.0) / night(78.1)
Siwa,yellow floral(100.0) / vanilla(88.8) / green(74.7) / floral(61.1) / powdery(57.2) / balsamic(55.3) / warm spicy(52.4) / musky(49.4) / amber(48.5) / aromatic(46.5),winter(20.9) / spring(24.5) / summer(2.7) / fall(47.2),day(90.0) / night(58.3)
Atomic Rose s,rose(100.0) / vanilla(61.2) / citrus(57.2) / soft spicy(56.5) / floral(56.4) / amber(54.6) / powdery(45.4),winter(17.0) / spring(12.3) / summer(4.1) / fall(94.3),day(92.9) / night(64.1)
Poppy & Barley,powdery(100.0) / fruity(89.5) / floral(64.7) / violet(62.2) / sweet(59.7) / woody(54.9) / musky(53.3),winter(35.9) / spring(25.5) / summer(3.6) / fall(25.3),day(96.5) / night(82.3)
Bloom Intense,white floral(100.0) / fruity(56.0) / tuberose(53.9) / sweet(52.7) / earthy(45.2) / citrus(45.1),winter(41.4) / spring(27.6) / summer(10.3) / fall(57.5),day(100.0) / night(60.5)
La Nuit de Homme Parfum,fresh spicy(100.0) / fruity(80.9) / sweet(74.9) / aromatic(72.0) / lavender(70.4) / woody(68.6) / vanilla(65.4) / warm spicy(61.9) / anis(57.4) / patchouli(54.8),winter(11.6) / spring(17.1) / summer(1.2) / fall(96.1),day(50.1) / night(22.1)
Under the Stars,leather(100.0) / oud(94.1) / fresh spicy(74.2) / animalic(65.0) / amber(63.6) / smoky(51.0),winter(48.0) / spring(62.2) / summer(41.2) / fall(100.0),day(20.7) / night(10.0)
My Way Nectar,white floral(100.0) / citrus(60.4) / sweet(59.4) / tuberose(58.0) / fruity(57.2) / aquatic(56.7) / animalic(46.6) / ozonic(46.6) / green(46.3) / powdery(45.0),winter(42.9) / spring(19.0) / summer(4.5) / fall(13.4),day(100.0) / night(91.7)
Royal Princess Oud,powdery(100.0) / woody(97.1) / violet(90.9) / citrus(74.5) / warm spicy(69.2) / patchouli(69.0) / oud(68.0) / floral(63.8) / iris(63.7) / amber(59.8),winter(21.4) / spring(36.0) / summer(6.2) / fall(63.0),day(92.8) / night(48.9)
La Huile Tour de Pere,woody(100.0) / oud(79.6) / fresh spicy(49.4) / animalic(47.4) / earthy(47.4),winter(33.3) / spring(33.3) / summer(100.0) / fall(100.0),day(57.1) / night(42.9)
Guilty Pour Homme Parfum,woody(100.0) / fresh spicy(86.0) / aromatic(83.7) / citrus(60.4) / lavender(59.9) / musky(55.4) / white floral(52.8) / patchouli(52.8),winter(52.0) / spring(24.2) / summer(6.9) / fall(82.3),day(96.5) / night(69.6)
Paragon Extrae de Parfum,leather(100.0) / animalic(65.0) / smoky(51.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(100.0)
Tabarom,woody(100.0) / warm spicy(67.3) / powdery(62.8) / tobacco(60.6) / aromatic(59.1) / sweet(49.4) / patchouli(48.7) / musky(48.1) / floral(47.0) / cinnamon(45.0),winter(3.8) / spring(9.4) / summer(0.0) / fall(76.9),day(19.2) / night(15.4)
Diorissimo,white floral(100.0) / green(70.1) / fresh(69.9) / floral(66.6) / soapy(39.1),winter(5.5) / spring(27.0) / summer(1.7) / fall(15.4),day(100.0) / night(44.7)
Moonlight Rose,rose(100.0) / patchouli(61.6) / earthy(54.9) / woody(54.2) / warm spicy(50.0) / mossy(47.4) / fruity(47.4) / sweet(46.8) / fresh spicy(46.6),winter(42.7) / spring(22.0) / summer(4.9) / fall(100.0),day(54.2) / night(13.9)
English Pear and Sweet Pea Special Edition,floral(100.0) / fresh(94.9) / white floral(93.7) / sweet(85.2) / green(76.2) / fruity(75.1) / musky(47.8) / woody(47.6) / almond(46.9) / powdery(45.8),winter(8.8) / spring(31.2) / summer(1.2) / fall(16.7),day(84.7) / night(48.6)
Eau de White Floral,fruity(100.0) / white floral(96.6) / citrus(82.4) / sweet(71.7) / aromatic(53.6) / fresh spicy(50.1) / floral(48.1) / rose(45.0),winter(22.2) / spring(11.1) / summer(3.7) / fall(15.4),day(80.8) / night(46.2)
De Los Santos,amber(100.0) / musky(98.8) / aromatic(96.8) / herbal(83.0) / powdery(72.8) / iris(71.1) / soft spicy(67.9) / fruity(52.7) / fresh spicy(50.4) / sweet(46.6),winter(41.7) / spring(33.8) / summer(8.9) / fall(44.6),day(95.2) / night(73.7)
No. 5,citrus(100.0) / floral(83.3) / fresh spicy(81.1) / sweet(77.7) / rose(75.2) / aromatic(69.9) / white floral(69.5) / patchouli(68.1) / woody(65.1) / warm spicy(58.6),winter(29.8) / spring(19.1) / summer(0.0) / fall(18.5),day(88.9) / night(92.6)
Cologne Bigarade,citrus(100.0) / green(83.9) / fresh(71.9) / rose(54.4) / fresh spicy(50.0) / woody(48.8) / herbal(44.4),winter(17.0) / spring(17.5) / summer(0.6) / fall(10.1),day(83.2) / night(92.4)
Vanille Fatale,vanilla(100.0) / warm spicy(87.1) / sweet(79.6) / amber(78.0) / woody(74.9) / powdery(64.5) / tobacco(60.8) / balsamic(59.9) / leather(59.7) / aromatic(59.3),winter(21.7) / spring(21.9) / summer(5.1) / fall(100.0),day(32.6) / night(15.5)
Pomegranate Noir,woody(100.0) / warm spicy(77.6) / fruity(74.5) / sweet(59.9) / amber(52.5) / fresh spicy(47.7) / soft spicy(45.0),winter(22.4) / spring(50.4) / summer(5.8) / fall(83.6),day(40.5) / night(28.1)
Omnia Crystalline,woody(100.0) / floral(88.3) / musky(86.8) / green(78.1) / aquatic(77.7) / ozonic(69.7) / fruity(65.4) / fresh(62.0) / powdery(60.8) / earthy(59.7),winter(11.2) / spring(24.7) / summer(0.7) / fall(21.5),day(80.2) / night(82.0)
Sherwood,woody(100.0) / powdery(79.9) / musky(59.9) / warm spicy(51.8) / white floral(46.6) / soft spicy(45.6) / rose(45.3),winter(54.1) / spring(26.0) / summer(7.4) / fall(59.6),day(89.1) / night(39.9)
L'Anterdi,white floral(100.0) / tuberose(65.7) / sweet(51.2) / citrus(49.6) / woody(49.2) / patchouli(47.8) / vanilla(47.6) / fruity(47.0) / animalic(46.0),winter(19.9) / spring(31.0) / summer(7.4) / fall(93.1),day(65.7) / night(32.2)
Under the Lemon Tree,citrus(100.0) / green(73.9) / aromatic(72.6) / woody(55.5) / fresh spicy(54.1) / musky(49.4) / conifer(47.3),winter(43.7) / spring(21.1) / summer(4.6) / fall(3.7),day(81.0) / night(100.0)
Allure Sensual,woody(100.0) / warm spicy(85.0) / powdery(77.1) / amber(56.5) / aromatic(52.7) / balsamic(50.9) / vanilla(49.9) / iris(44.9),winter(48.0) / spring(40.0) / summer(12.0) / fall(97.3),day(62.2) / night(32.4)
Dior Homme,iris(100.0) / woody(81.4) / powdery(77.1) / earthy(68.2) / aromatic(65.1) / violet(65.0) / floral(63.4) / lavender(62.4) / musky(60.8) / fruity(45.1),winter(6.0) / spring(7.7) / summer(2.0) / fall(100.0),day(38.6) / night(15.6)
L'Evé Dalma,woody(100.0) / green(91.0) / white floral(77.6) / fresh(65.6) / amber(58.0) / vanilla(45.7) / citrus(45.4),winter(33.3) / spring(22.2) / summer(0.0) / fall(53.3),day(93.3) / night(80.0)
